nombre,genero
dabir,m
dabney,m
dabria,f
dace,f
dacey,a
dacia,f
dacian,m
daciana,f
daciano,m
dacie,f
dacil,f
dacina,f
dacio,m
daco,m
dacy,f
dadal,a
dadas,m
dadash,m
dadda,f
dado,m
dae hyun,m
dae joong,m
dae kyung,m
dae sik,m
dae sung,m
dae whoan,m
dae won,m
dae woo,m
dae yong,m
dae young,m
dael,m
daffi,f
daffie,f
daffy,m
dafin,m
dafina,f
dafinka,f
dafinë,f
dafna,f
dafne,f
dafni,f
dafnoula,f
dafrosa,f
dafydd,m
dag,m
dagan,m
dagbjartur,m
dagbjört,f
dage,m
dagfin,m
dagfinn,m
dagheid,f
dagi,f
daglie,m
dagma,f
dagmar,f
dagmara,f
dagmāra,f
dagna,f
dagnen,f
dagner,f
dagnija,f
dagnis,m
dagny,f
dagný,f
dago,m
dagobert,m
dagoberto,m
dagomar,m
dagrund,f
dagrunn,f
dagrún,f
dagur,m
dahiana,f
dahlia,f
dahyana,f
dai,f
daian,m
daiana,f
daiara,f
daichi,m
daien,m
daiga,f
daiji,m
daiki,m
daila,f
daile,f
dailonis,m
daimi,f
daina,f
dainis,m
dainius,m
dainoras,m
dainotas,m
dainuvīte,f
daira,f
dairi,f
daisey,f
daisha,f
daishiro,m
daisi,f
daisie,f
daisuke,m
daisy,f
daithi,m
daithí,m
daiva,f
daja,f
dajana,f
dakia,f
dako,m
dakota,a
dakotah,m
dal soo,m
dalai,m
dalal,f
dalan,m
dalbir,m
dalcia,f
dale,a
dalel,a
dalenna,f
daler,m
daley,m
dalgiza,f
dali,f
dalia,f
daliah,f
dalibor,m
daliborka,f
dalida,f
dalieska,f
dalija,f
dalila,f
dalilaa,f
dalimil,m
dalimír,m
dalina,f
dalinda,f
dalio,m
dalip,m
dalit,f
dalius,m
dalla,f
dallas,a
dallin,m
dallëndyshe,f
dalma,f
dalmacia,f
dalmacio,m
dalmann,m
dalmazia,f
dalmazio,m
dalmira,f
dalmiro,m
daloris,f
dalrós,f
dalton,m
dalva,f
daly,m
dalė,f
damacia,f
damacio,m
damalis,m
damara,f
damaris,f
damasa,f
damase,m
damasia,f
damaso,m
damek,m
dameliya,f
damen,m
dameon,m
damhnait,f
damia,f
damian,m
damiana,f
damiano,m
damianos,m
damien,m
damienne,f
damijan,m
damijonas,m
damil,m
damila,f
damilja,f
damilya,f
damion,m
damir,m
damira,f
damiro,m
damita,f
damián,m
damjan,m
damjana,f
damla,f
damnjan,m
damocles,m
damon,m
damond,m
damyan,m
damyanti,f
damásio,m
dan,m
dana,f
danae,f
danah,f
danai,f
danail,m
danalí,f
danara,f
danas,f
dancho,m
dandre,m
dane,m
danei,f
danel,m
danell,f
danella,f
danelle,f
danesa,f
danett,f
danette,f
daneš,m
danfríður,f
dangelo,m
dangeras,m
dangira,f
dangirdas,m
dangirutis,m
danguolė,f
dani,a
dania,f
danial,m
daniar,m
danica,f
danice,f
danicyta,f
danie,f
daniel,m
daniela,f
daniele,f
danielius,m
daniella,f
danielle,f
daniels,m
daniiela,f
daniil,m
danijel,m
danijela,f
danika,f
danil,m
danila,f
danilela,f
danilo,m
danimiro,m
danina,f
danio,m
danira,f
danisa,f
danit,f
danita,f
danitza,f
danius,m
daniyar,m
daniza,f
danièle,f
daniël,m
daniëla,f
daniëlla,f
daniëlle,f
danjela,f
danju,m
danka,f
dankfried,m
dankhard,m
dankmar,m
danko,m
dankward,m
dankwart,m
danna,f
dannae,f
danni,m
dannia,f
dannie,m
danniela,f
danny,m
dannye,f
dante,m
dantina,f
dantzel,f
danuta,f
danutė,f
danuša,f
danuše,f
danuška,f
dany,f
danya,f
danyelle,f
danyette,f
danylo,m
danyu,m
daníel,m
daoud,m
daouda,m
daphene,f
daphna,f
daphne,f
daphné,f
daphnée,f
daquan,m
daquel,a
dara,f
daragh,m
darah,f
darb,f
darbie,f
darby,m
darcee,f
darcey,f
darci,f
darcie,f
darciel,m
darcy,a
darda,f
dardan,m
dardo,m
dare,m
dareen,f
darejan,f
darek,m
darell,m
darelle,f
daren,m
dari,f
daria,f
darian,m
dariana,f
darice,f
darie,m
dariel,m
dariela,f
darien,m
dariga,f
darija,f
darijo,m
darijus,m
darin,m
darina,f
darine,f
darinka,f
dario,m
darion,m
darioush,m
darius,m
dariush,m
dariusz,m
dariya,f
darja,f
darka,f
darkhan,m
darko,m
darla,f
darleen,f
darlem,f
darlene,f
darlinda,f
darline,f
darnell,m
darold,m
daromir,m
daron,m
daroslava,f
darragh,m
darrel,m
darrell,m
darrelle,f
darren,m
darri,m
darrian,m
darrick,m
darrien,m
darrin,m
darrion,m
darrius,m
darron,m
darry,m
darryl,m
darsey,f
darshan,m
darshana,f
darsie,f
darsy,a
darth,m
darvin,m
darwin,m
darya,f
daryia,f
daryl,a
daryle,m
daryn,f
daryna,f
daryoosh,m
daryosh,m
daría,f
darío,m
dasantila,f
dasara,f
dasha,f
dashamir,m
dashamira,f
dashawn,m
dashnor,m
dashuri,f
dashurie,f
dashurije,f
dasi,f
dasia,f
dasie,f
dasio,m
dasya,f
datha,f
dativa,f
dativo,m
dato,m
datzo,m
daud,m
daugirdas,m
daulet,m
daumantas,m
daumants,m
daune,f
dauren,m
daurenbek,m
daut,m
dava,f
davan,f
dave,m
daveen,f
davel,m
davender,m
daveta,f
davey,m
davi,m
daviana,f
david,m
davida,f
davidde,m
davide,m
davidson,m
davie,m
davin,m
davina,f
davine,f
davinia,f
davino,m
davion,m
davis,m
davit,m
davita,f
daviti,m
davon,m
davonte,m
davor,m
davorin,m
davorka,f
davoud,m
davron,m
davud,m
davut,m
davy,m
davyd,m
davíð,m
dawid,m
dawn,f
dawna,f
dawson,m
dax,m
daya,f
dayana,f
dayanara,f
dayca,f
dayenne,f
dayle,f
daylena,f
dayma,f
daymán,m
dayna,f
dayra,f
dayton,m
daðey,f
daði,m
dağhan,m
daša,f
dašena,f
de aranzazu,a
de dios,a
de fatima,f
de fátima a de guadalupe,a
de jerusalén,m
de jesus,a
de jesús,m
de la candelaria,a
de la cruz,a
de la esperanza,f
de la flor,f
de la macarena,a
de la merced,a
de la o,a
de la paz,a
de la salette,f
de las malvinas,a
de las mercedes,f
de las nieves,f
de loreto,a
de los angeles,f
de los milagros,f
de los reyes,a
de lourdes,a
de lujan,a
de luna,f
de monserrat,a
de nazaret,a
de nuria,a
de rios,a
dea,f
deacon,m
dean,m
deana,f
deandra,f
deandre,m
deane,m
deangelo,m
deann,f
deanna,f
deanne,f
dearbhail,f
dearbháil,f
deb,f
debarata,m
debashis,m
debasish,m
debbee,f
debbi,f
debbie,f
debbra,f
debby,f
debee,f
debera,f
debi,f
debor,f
debora,f
deboraa,f
deborah,f
debra,f
debrah,f
decebal,m
decia,f
decima,f
decimo,m
decio,m
decker,m
declan,m
decoroso,m
dedalo,m
dedda,f
deddo,m
dede,m
dedie,f
dediu,m
dedo,m
dedra,f
dedric,m
dedrick,m
dedë,m
dee,f
dee dee,f
deeann,f
deeanne,f
deedee,f
deema,f
deena,f
deep,f
deepa,f
deepali,f
deepika,f
deepla,f
deepmala,f
deepshikha,f
deepti,f
deerdre,f
deerk,m
deert,m
dees,m
defne,f
degenhard,m
degenhardt,m
degenhart,m
deha,m
dehlia,f
deian,m
deianira,f
deicola,m
deidamia,f
deidra,f
deidre,f
deifilia,f
deike,f
deimantas,m
deina,f
deiniol,m
deion,m
deirbhile,f
deirdre,f
deivi,f
deividas,m
deivydas,m
deja,f
dejan,m
dejana,f
dejuan,m
deka,f
dekel,m
del,f
del amor,a
del carmen,a
del cielo,a
del consuelo,a
del corazon de,f
del corazon de jesus,a
del huerto,f
del lujan,a
del mar,a
del maria,f
del milagro,a
del monte,a
del pilar,a
del rocio,a
del rosario,a
del sagr.c.de jesus,a
del sagrado corazón,a
del socorro,f
del sol,f
del solar,a
del tindaro,a
del valle,a
dela,f
delaia,f
delaney,f
delano,m
delbert,m
delcea,f
delcho,m
delcina,f
delcine,f
deldamia,f
deleandra,f
delemira,f
delf,m
delfa,f
delfim,m
delfin,m
delfina,f
delfino,m
delfio,m
delfo,m
delfor,m
delia,f
deliana,f
deliasir,f
delicia,f
delila,f
delilah,f
delimiro,m
delina,f
delinda,f
delio,m
delioara,f
delisa,f
delita,f
delja,f
deljan,m
deljana,f
deljanka,f
delju,m
delka,f
dell,m
della,f
dellene,f
delly,f
delma,f
delmar,m
delmas,m
delmer,m
delmidio,m
delmina,f
delmira,f
delmiro,m
delmo,m
delois,f
delora,f
delores,f
deloria,f
deloris,f
delphia,f
delphin,m
delphina,f
delphine,f
delphinia,f
delroy,m
dels,m
delsa,f
delsie,f
delsin,m
delta,f
delton,m
delu,f
delva,f
delvin,m
delvis,f
delya,f
delyan,m
delyana,f
delyanka,f
delyth,f
delyu,m
deman,m
demarco,m
demarcus,m
demario,m
demaris,f
demet,f
demeter,m
demetra,f
demetre,m
demetri,m
demetria,f
demetrina,f
demetrio,m
demetrios,m
demetris,m
demetrius,m
demetru,m
demetília,f
demi,f
demian,m
demidio,m
demir,m
demirali,m
demircan,m
demirhan,m
demis,m
demián,m
democles,m
democrates,m
democrito,m
demofila,f
demond,m
demosteles,m
demosten,m
demostene,m
demostenes,m
demosteni,m
demosthenis,m
dempsey,a
dempster,m
demush,m
demétria,f
demócrates,m
demófila,f
demórfila,f
dena,f
denada,f
dencho,m
denecia,f
deneen,f
denel,m
deni,f
denia,f
denica,f
denice,f
deniece,f
denis,m
denisa,f
denise,f
denisia,f
deniss,m
denissa,f
denisse,f
denitza,f
denizcan,m
denizhan,m
denju,m
denka,f
denken,m
denko,m
denna,f
denni,f
dennie,m
dennis,m
denny,m
denver,a
deny,f
denys,m
denyse,f
denyu,m
denzel,m
denzil,m
denécia,f
deo,m
deociolinda,f
deoclediano,m
deodato,m
deodoro,m
deogilde,f
deogracia,f
deogracias,m
deolinda,f
deolindo,m
deon,m
deondre,m
deonne,f
deontae,m
deonte,m
dequan,m
der,m
dera,f
derae,f
derald,m
derby,m
derdine,f
dereck,m
derek,m
derenik,m
derex,m
derfuta,f
deriana,f
deric,m
derick,m
derik,m
derio,m
derk,m
derlis,m
dermidio,m
dermot,m
deron,m
derora,f
derrek,m
derrell,m
derrick,m
derrin,m
derrol,m
derron,m
derry,m
derryck,m
derryl,m
derval,f
derverdine,f
dervish,m
derviş,m
dervişhan,m
derviš,m
dervla,f
dervo,m
derwen,f
derwin,m
derwyn,m
deryl,m
deryn,f
des,m
desa,f
desamparados,f
desanka,f
desaree,f
deschka,f
desdemona,f
desdémona,f
deshaun,m
deshawn,m
deshka,f
desi,m
desibor,m
desiderata,f
desiderato,m
desideria,f
desiderio,m
desideriu,m
desiderius,m
desidério,m
desimir,m
desimirka,f
desio,m
desirae,f
desire,f
desiree,f
desiri,f
desiré,f
desirée,f
desislava,f
desmond,m
desmund,m
desolina,f
despa,f
despina,f
despoina,f
despot,m
dessie,f
dessislava,f
destin,m
destinee,f
destiney,f
destini,f
destiny,f
detchka,f
detchko,m
detcho,m
detdeus,m
detelin,m
detelina,f
detert,m
dethard,m
detine,f
detjon,m
detjona,f
detlef,m
detlev,m
detmar,m
detmer,m
detrich,m
detsje,f
detta,f
dettmar,m
dettmer,m
dettmerdine,f
deva,f
deva naraíani,f
devan,f
devante,m
devendra,f
deverell,a
devesh,m
devi,f
devin,a
devina,f
devinne,f
devis,m
devleta,f
devlin,m
devnet,m
devon,a
devondra,f
devonna,f
devonne,f
devonta,m
devontae,m
devonte,m
devora,f
devorah,f
devota,f
devoto,m
devran,m
devrim,m
devyani,f
dew,f
dewayne,m
dewey,m
dewi,m
dewitt,m
dexter,m
deyan,m
deyana,f
deyanina,f
deyanira,f
deyna,f
deysi,f
dezider,m
dezideriu,m
dezső,m
deša,f
dganit,f
dhanraj,m
dharam,m
dharma,f
dharvinder,a
dheera,m
dhimiter,m
dhimitra,f
dhimitraq,m
dhimosten,m
dhiogjen,m
dhori,m
dhurata,f
dhyan,m
di,f
diaana,f
diadema,f
diago,m
diahann,f
diala,f
dialita,f
diallo,m
diamandi,m
diamanta,f
diamante,f
diamantia,f
diamantina,f
diamantino,m
diamantis,m
diamanto,f
diamantoula,f
diamela,f
diamond,f
dian,f
diana,f
diandra,f
diane,f
diane marie,f
dianela,f
dianella,f
dianemarie,f
dianka,f
diann,f
dianna,f
dianne,f
diannne,f
diano,m
diantha,f
dianthe,f
diarmaid,m
diarmid,m
diarmuid,m
dias,m
dib,m
diba,f
dibe,f
dick,m
dickey,m
dickie,f
dickla,f
dicle,f
dico,m
dictimio,m
dictor,m
dida,f
didar,m
didde,f
diddo,m
didem,f
diderich,m
diderik,m
diderike,f
didi,f
didier,m
didima,f
didimo,m
didina,f
didio,m
dido,f
didona,f
didrich,m
didrik,m
didy,f
didzis,m
didío,m
diederich,m
diederick,m
diederik,m
diederike,f
diedrich,m
diega,f
diego,m
dieguito,m
dieke,f
dieks,m
diella,f
diellza,f
diema,f
diemo,m
diemut,f
dien,f
diena,f
dieneke,f
dierck,m
dierdre,f
dierk,m
diet,f
dieta,f
dietbald,m
dietbert,m
dietburg,f
dieter,m
dieterich,m
dietert,m
dietfried,m
dietgar,m
dietgard,f
dietger,m
diethard,m
diethardt,m
diethart,m
diethelm,m
diether,f
diethild,f
diethilde,f
diethmar,m
dietlind,f
dietlinde,f
dietmar,m
dietmund,m
dietmute,f
dietolf,m
dietram,m
dietrich,m
dietwald,m
dietwalt,m
dietwolf,m
dietwulf,m
dietz,m
dieudonné,m
dieuwer,m
dieuwertje,f
dieuwke,f
diewertje,f
dife,f
diftir,m
digby,f
digna,f
digno,m
dihue,a
diiego,m
dijan,m
dijana,f
dijanka,f
dikla,f
diko,m
dikran,m
dila,f
dilan,f
dilara,f
dilaver,m
dilawar,m
dilay,f
dilbar,f
dilber,f
dildora,f
dile,f
dilek,f
diletta,f
diletto,m
dilfuza,f
dilia,f
diliana,f
dilip,m
dilja,f
diljan,m
diljana,f
diljá,f
dillan,m
dillard,m
dillion,m
dillon,m
dillwyn,m
dilma,f
dilmurat,m
dilmurod,m
dilnoza,f
diloram,f
dilruba,f
dilschad,f
dilshad,f
dilshod,m
dilwen,f
dilwyn,m
dilya,f
dilyan,m
dilyana,f
dilyara,f
dilys,f
dilşad,f
dima,f
dimas,m
dimcho,m
dime,m
dimitar,m
dimitilde,f
dimitra,f
dimitri,m
dimitria,f
dimitrie,m
dimitrii,m
dimitrija,f
dimitrije,m
dimitrijka,f
dimitrika,f
dimitrin,m
dimitrina,f
dimitrinka,f
dimitrios,m
dimitris,m
dimitritchka,f
dimitriya,f
dimitriyka,f
dimitrou,m
dimitroula,f
dimitry,m
dimka,f
dimko,m
dimo,m
dimokritos,m
dimos,m
dimostenis,m
dimosthenis,m
dimpa,f
dimphy,f
dimple,f
dimpna,f
dimče,m
dimčo,m
dimšo,m
din,m
dina,f
dinael,m
dinah,f
dinand,m
dinant,m
dinara,f
dinca,f
dinchen,f
dincho,m
dine,f
dineke,f
dinesh,m
dingeman,m
dini,f
dinică,f
dinie,f
dinis,m
diniţă,f
dinja,f
dinjo,m
dinju,m
dinka,f
dinko,m
dinnie,f
dinny,f
dino,m
dinora,f
dinorah,f
dinu,m
dinuca,f
dinus,m
diny,f
dinyo,m
dinyu,m
dinçer,m
dio,a
diocleciano,m
diocles,m
diodenes,m
diodora,f
diodoro,m
diogene,m
diogenes,m
diogenis,m
diogo,m
diomede,m
diomedes,m
diomid,m
diomidis,m
diomira,f
diomiro,m
dion,m
dione,f
dionel,m
dionicia,f
dionicio,m
dionigi,m
dionigia,f
dionigio,m
dionio,m
dionis,m
dionisia,f
dionisie,m
dionisio,m
dionizas,m
dionne,f
dionte,m
dionys,m
dionysia,f
dionysios,m
dionysius,m
dionysus,m
dionyzas,m
dionísia,f
dionísio,m
dionýz,m
dior,f
diora,f
diorella,f
dioscoro,m
diosdado,m
diosma,f
diotima,f
dipak,m
dipankar,m
dirce,f
dirch,m
dirck,m
diren,f
direne,f
direnç,m
dirk,m
dirkjan,m
dirkje,f
dirksje,f
disa,f
diselio,m
disibodo,m
disiderio,m
disma,m
dismo,f
dita,f
ditbardh,m
ditchka,f
ditchko,m
ditha,f
dithard,m
ditlef,m
ditlev,m
ditmar,m
ditmir,m
ditrich,m
ditsa,f
ditta,f
ditte,f
ditthard,m
dittmar,m
ditty,f
dituri,f
diuca,a
diulio,m
diva,f
divico,m
divina,f
divino,m
divna,f
divo,m
divya,f
dix,f
dixie,m
dixon,m
diyan,m
diyana,f
diyanka,f
diyor,m
diána,f
diðrik,m
diógenes,m
dióscoro,m
diāna,f
diğdem,f
djafar,m
djako,m
djamel,m
djamila,f
djamilya,f
djamschid,m
djamshid,m
djana,f
djavad,m
djeni,f
djenka,f
djibril,m
djumberi,m
djurre,m
dmitar,m
dmitri,m
dmitrie,m
dmitrii,m
dmitrij,m
dmitrijs,m
dmitrijus,m
dmitriy,m
dmitro,m
dmitry,m
dmytriy,m
dmytro,m
do,m
do hee,f
do hyung,m
doane,m
dobilas,m
dobra,f
dobre,m
dobri,m
dobrica,f
dobrila,f
dobrilo,m
dobrin,m
dobrina,f
dobrinka,f
dobrita,f
dobrivoje,m
dobromila,f
dobromir,m
dobrosav,m
dobroslav,m
dobroslava,f
dobrotin,m
dobry,m
doca,f
dochia,f
dochina,f
dochiţa,f
dode,m
dodea,f
dodi,f
dodie,f
dodo,m
dodu,m
dody,f
doe,f
doede,m
doedo,m
doedrich,m
doeke,m
doekes,m
doelia,f
doetie,f
dofri,m
doha,f
doin,a
doina,f
doinel,m
doinita,f
doireann,f
dojka,f
dojna,f
dojno,m
dojtcho,m
dola,f
dolan,m
dolce,m
dolcho,m
dolf,m
dolfo,m
doll,f
dolley,f
dolli,f
dollie,f
dolly,f
dolora,f
dolores,f
dolorita,f
doloritas,f
dolors,f
dolorès,f
dolph,m
dom,m
domacal,a
domagoj,m
domantas,m
domas,m
domecio,m
domen,m
domenic,m
domenica,f
domenico,m
domhnall,m
domicelė,f
domicia,f
domiciana,f
domiciano,m
domicina,f
domicio,m
domicėlė,f
domien,m
dominga,f
domingo,m
domingos,m
dominic,m
dominica,f
dominiciano,m
dominick,m
dominik,m
dominika,f
dominikas,m
dominike,f
dominikus,m
domininkas,m
dominique,f
dominykas,m
domitila,f
domitilla,f
domitille,f
domitilo,m
domitília,f
domizia,f
domiziana,f
domiziano,m
domizio,m
domma,f
dommina,f
domna,f
domnica,f
domnion,m
domniţa,f
domonkos,m
don,m
dona,f
donaciano,m
donagh,m
donal,m
donald,m
donalda,f
donaldina,f
donaldo,m
donara,f
donardo,m
donat,m
donata,f
donatas,m
donate,f
donatela,f
donatella,f
donatello,m
donatien,m
donatienne,f
donatila,f
donatina,f
donatino,m
donato,m
donatus,m
donavan,m
doncel,m
doncho,m
done,f
donell,m
donella,f
donelle,f
donetta,f
donette,f
dong cheol,m
dong chul,m
dong ho,m
dong hun,m
dong hwa,m
dong hwan,m
dong hyun,m
dong jin,m
dong joon,m
dong keun,m
dong kyu,m
dong min,m
dong seob,m
dong sik,m
dong soo,m
dong sook,f
dong soon,f
dong sun,f
dong sung,m
dong wan,m
dong woo,m
dong wook,m
dong young,m
donia,f
donica,f
donielle,f
donik,m
donika,f
donina,f
donita,f
doniyor,m
donjeta,f
donju,m
donka,f
donko,m
donley,m
donn,m
donna,f
donnacha,m
donnajean,f
donnamarie,f
donncha,m
donnchadh,m
donnell,m
donnelly,m
donni,f
donnie,m
donny,m
dono,m
donosa,f
donoso,m
donovan,m
donta,m
dontae,m
donte,m
donyu,m
donzília,f
donát,m
dončo,m
doo hee,f
dooitze,m
doortje,f
dora,f
doralia,f
doralice,f
doralin,f
doralina,f
doraline,f
doralisa,f
doraliza,f
doralyn,f
doralynn,f
doralynne,f
dorana,f
doranda,f
dorando,m
dorata,f
dorcas,f
dorchen,f
dore,f
doree,f
doreen,f
dorel,m
dorelia,f
dorella,f
dorelle,f
dorena,f
dorene,f
doreth,f
doretha,f
doretta,f
dorette,f
dorey,f
dori,f
doria,f
dorian,m
doriana,f
doriane,f
dorianne,f
doriano,m
dorice,f
dorida,f
dorie,f
dorien,f
dorila,f
dorin,m
dorina,f
dorinda,f
dorine,f
dorinel,m
dorinela,f
dorinne,f
dorino,m
doris,f
dorisa,f
dorise,f
dorit,f
dorita,f
dorith,f
doritha,f
doritta,f
dorjan,m
dorjana,f
dorkas,f
dorla,f
dorle,f
dorli,f
dorlies,f
dorlinde,f
dorlis,f
dorly,f
dorman,m
dormidont,m
doro,m
dorolice,f
dorolisa,f
doron,m
dorota,f
dorotea,f
doroteja,f
doroteo,m
doroteya,f
dorotha,f
dorothe,f
dorothea,f
dorothee,f
dorotheia,f
dorotheus,m
dorothy,f
dorothé,f
dorothée,f
dorottya,f
dorree,f
dorri,f
dorrie,f
dorris,f
dorrit,f
dorry,f
dorsey,m
dorte,f
dortha,f
dorthe,f
dorthea,f
dorthy,f
dortje,f
doru,m
doruk,m
dorukan,m
dorukhan,m
dorulet,m
doruntina,f
dorus,m
doruţ,m
doruţa,f
dory,a
dorzong,m
dosi,f
dositea,f
dositeo,m
dosta,f
dot,f
dotchka,f
dotcho,m
doti,f
dotti,f
dottie,f
dotty,f
dotza,f
doudy,m
doug,m
dougal,m
dougald,m
douggie,m
dougie,m
douglas,m
douglass,m
dougles,m
douglis,m
douwina,f
douwine,f
dov,m
dovber,m
dove,f
dovid,m
dovie,f
doyel,a
doyka,f
doyle,m
doyna,f
doyno,m
doytcho,m
doğacan,m
doğan,m
doğancan,m
doğaç,m
doğu,m
doğucan,m
doğukan,m
doğuş,m
draga,f
dragan,m
dragana,f
drage,m
dragi,m
dragica,f
dragija,f
draginja,f
dragić,m
dragiša,m
dragna,f
drago,m
dragobie,f
dragoj,m
dragoja,m
dragoje,m
dragojla,f
dragoljub,m
dragomila,f
dragomir,m
dragomira,f
dragomirka,f
dragorad,m
dragoslav,m
dragoslava,f
dragoy,m
dragoş,m
dragu,m
dragulin,m
dragulina,f
dragusin,m
dragut,m
dragutin,m
drahomír,m
drahomíra,f
drahoslav,m
drahoslava,f
drahuša,f
drake,m
drako,m
drandofile,f
draupnir,m
draven,m
drazen,m
draško,m
dražan,m
dražana,f
dražen,m
dražena,f
draženka,f
dražimir,m
dre,m
drea,f
drees,m
drejtori,m
dren,m
drenka,f
drenko,m
drenusha,f
drever,f
drew,a
dries,m
driljon,m
drilon,m
drilona,f
drin,m
drina,f
drini,m
drino,m
driss,m
drissia,f
drit,m
drita,f
dritan,m
dritana,f
driton,m
dritë,f
droctoveo,m
drogon,m
droplaug,f
dror,m
drora,f
dru,m
drumi,m
drummond,m
druscila,f
drusiana,f
drusila,f
drusilla,f
druso,m
druvis,m
dryke,m
dré,m
drífa,f
dröfn,f
drăguţa,f
drąsutis,m
duam,a
duane,m
duarte,m
dubava,f
duberli,m
dubica,f
dubiel,m
dubravka,f
dubravko,m
duccia,f
duccio,m
duco,m
dudi,m
dudley,m
dudu,f
duena,f
duff,m
duffie,m
duffy,m
dugal,m
dugald,m
dugan,m
duglas,m
duham,m
duilia,f
duilio,m
duje,m
dujka,f
dujo,m
duk hoon,m
duk ja,f
duk jin,m
duk jun,m
duka,f
dukagjin,m
duke,m
dula,f
dulach,m
dulandina,f
dulari,f
dulas,m
dulce,f
dulce carina,f
dulce jesus,m
dulce maria,f
dulcea,f
dulci,f
dulcia,f
dulciana,f
dulcidio,m
dulcie,f
dulcina,f
dulcine,f
dulcinea,f
dulcy,f
dule,f
dulina,f
dulio,m
dulsea,f
duman,m
dumitra,f
dumitriana,f
dumitrina,f
dumitriţa,f
dumitru,m
dunc,m
duncan,m
dunia,f
dunja,f
dunlop,m
dunn,m
dunstan,m
dunstano,m
duran,m
durand,m
durant,m
durante,m
durbal,m
duri,m
durim,m
durime,f
duriye,f
durk,m
durkje,f
durmish,m
durmo,m
durmuş,m
durs,m
dursine,f
dursiye,f
dursum,m
dursun,m
duru,f
durward,m
durwin,m
durwood,m
dusan,m
duscha,m
duschka,f
duschko,m
dushka,f
dushko,m
dusten,m
dustin,m
dustine,f
dusty,m
dutch,m
duval,m
duwayne,m
dušan,m
dušanka,f
dušica,f
duška,f
duško,m
duţu,m
dvir,m
dvira,f
dvora,f
dvorah,f
dwain,m
dwaine,m
dwane,m
dwayne,m
dwight,m
dwijendra,m
dwynwen,f
dyan,f
dyana,f
dyane,f
dyango,m
dyani,f
dyann,f
dyanna,f
dyanne,f
dylan,m
dylaver,m
dylber,m
dylbere,f
dylis,f
dyllis,f
dylon,m
dymas,m
dymph,f
dymphna,f
dymphy,f
dympna,f
dyna,f
dynah,f
dyora,f
dyson,m
dzanna,f
dzemilja,f
dzevdet,m
dzheni,f
dzhenka,f
dziamyan,m
dziana,f
dzianis,m
dzidis,m
dzidra,f
dzimitry,m
dzintars,m
dzintra,f
dziyana,f
dzmitri,m
dzmitrij,m
dzmitriy,m
dzmitry,m
dzuvita,f
dáire,m
dália,f
dálida,f
dámaris,f
dámaso,m
dándara,f
dániel,m
dária,f
dário,m
dávid,m
dáša,f
débora,f
déborah,f
décia,f
décio,m
délfor,m
délio,m
dénes,m
déolinda,f
désiré,m
désirée,f
dévora,f
dëfrim,m
dëshira,f
día,f
díana,f
dídac,m
dídimo,m
dídio,m
dília,f
dís,f
dísa,f
dómhildur,f
dóra,f
dóróthea,f
dögg,f
dölf,m
döndü,f
döne,f
dönüs,f
dörte,f
dörthe,f
dúa,f
dúfa,f
dúi,m
dúna,f
dündar,m
dürdane,f
düriye,f
dýrfinna,f
dýri,m
dýrleif,f
dýrunn,f
dănuţ,m
dănuţa,f
dżiugas,m
džafer,m
džamela,f
džana,f
džanko,m
džanuna,f
džavid,m
dželal,m
dželaludin,m
džema,m
džemail,m
džemaili,f
džemal,m
džemaludin,m
džemil,m
džemila,f
džemka,f
džemo,m
dženan,m
dženana,f
dženeta,f
dženita,f
dževad,m
dževdet,m
džibo,m
džilda,f
džingis,m
džiugas,m
e'lane,f
ea,f
eada,f
eadberto,m
eadie,f
eadith,f
eadmundo,m
eadoin,m
ealasaid,f
ealsa,f
eamon,m
eamonn,m
ean,m
eanwinda,f
ear,m
earl,m
earle,m
earlean,f
earlene,f
earline,f
earnest,m
earnestine,f
eartha,f
easter,f
easton,m
eaton,m
eavan,a
eba,f
ebal,m
ebba,f
ebbe,m
ebbel,m
ebbo,m
ebdulio,m
ebe,f
ebele,f
ebeling,m
eben,m
ebeneser,m
ebenezer,m
eber,f
eberardo,m
eberhard,m
eberhardine,f
eberhardt,m
eberhart,m
ebert,m
eberto,m
ebiciaro,m
ebo,m
ebon,m
ebonee,f
eboni,f
ebony,f
ebrahim,m
ebru,f
ebrulfo,m
ebubekir,m
ecaterina,f
ece,f
ecem,f
ecenur,f
ecevit,m
echo,f
eciar,m
ecio,m
eckard,m
eckardt,m
eckart,m
eckbert,m
eckehard,m
eckehardt,m
eckehart,m
eckert,m
eckfried,m
eckhard,m
eckhardt,m
eckhart,m
eckhold,m
ed,m
eda,f
edalberto,m
edan,m
edana,f
edber,m
edberto,m
edburga,f
edd,m
edda,f
eddi,m
eddie,m
eddine,m
eddo,m
eddy,m
ede,f
edee,f
edehard,m
edel,f
edela,f
edelba,f
edelbert,m
edelberto,m
edelburg,f
edelburga,f
edelfried,m
edelfriede,f
edelgard,f
edelhard,m
edelia,f
edelina,f
edelinde,f
edeline,f
edelira,f
edelma,f
edelmar,m
edelmira,f
edelmiro,m
edelmut,m
edeltraud,f
edeltraude,f
edeltraudt,f
edeltraut,f
edeltrud,f
edeltruda,f
edeltrude,f
edeltrudis,f
edelvais,f
edelveis,f
edelvis,f
edelwald,m
edelweis,f
edelweiss,f
eden,a
edena,f
eder,m
edern,m
edesio,m
edeso,m
edeván,m
edgar,m
edgard,m
